,name
0,"Тканевый стенд Expoline, 596*49*228 см, прямой, односторонний + сумка"
2,"Пленка антигравийная Oraguard 280 G 000 0,63*10 м полиуретан для авто, прозрачная, глянцевая"
3,"Баннер короткий Vikuflex литой Frontlit 440 г, 1,37*30 м полумат 1000D*1000D, 16*16"
4,"Резьбовой фиксатор анаэробный Akfix L270, высокая прочность, 250 мл"
6,"Ткань Неопрен  Термотрансфер  300  гр/кв м, 1.5 м, 25,6  пог/м"
7,"Термопленка NOVA-FLEX PRINTABLE SUBLISTOP, 0,5*10 м, 7701 - белый (экосольвент)"
8,"Ткань Футер 3-нит. 330гр/м2/ 1,65*33 м"
9,"Ткань Дьюспо 72г/м2, 1,6м*113м, Термотрансфер"
10,"Хлопковая футболка UC Premium, унисекс, 100% хлопок, плотность 180 г/м2, 46-48/M, черная"
12,"Ткань Флис люкс 280гр/м2, 1,6м*17м, Термотрансфер, А"
13,"Ткань сэндвич 180г/кв.м, 1,6*76м. Термотрансфер"
14,UV лак для планшетного UVinja
16,"Ткань Футер с начесом 330г/кв.м, 1,6*47м  Термотрансфер. Q"
17,"Ткань Дьюспо 72г/м2, 1,6м*104м, Термотрансфер"
18,"Ложная сетка 135 г/м2, 1,6*116 м Термотрансфер. Q"
19,"Термопленка NOVA-FLEX REFLEX, 0,50*2,5 м, 6402 - черный"
20,"3M™  GPT-020F Лента клейкая двусторонняя, акриловый адгезив, основа ПЭФ, прозрачная, 0,205 мм х 9 мм х 50 м"
22,"Термопленка NOVA-FLEX PU SOFT METALLIC, 0,50*2,5 м, 6280 - голографические пайетки"
23,ПВХ-Х кран запорный шаровой д-32 мм/163 546 074
25,"Ткань Кулирка полиэстр (Джерси), Термотрансфер, 180 г/кв.м, 1,65 м* 61 м"
26,"Ткань Бифлекс 230гр/м2, 1,55*35м, Термотрансфер"
27,"Пленка литая самоклеящаяся Oracal 970 G RA 922, 1,52*10 м, 110 мкм, metallic, латунная, глянцевая"
28,"Лезвие OLFA KB4-NS/3 пильное узкое, 6 мм (3 шт.)"
29,"Баннер короткий Vikuflex горячего ламинирования транслюцентный Backlit 510 г, 1,6*30 м мат 500D*500D, 18*12 new"
30,"Ткань Ника 140гр/м2/1,65м*41 м  Термотрансфер"
31,"Ткань Ложная сетка 160 г/кв.м, 1,65*53 м. Термотрансфер"
32,Лист ПВХ Unext 3х1560x3050 мм зеленый
34,"Акрил ACRYMA 72 XT C, 2*2050*3050 мм, прозрачный, clear (оргстекло)"
